,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1인당 실질 국민총소득(만 원),2197,2244,2331,2383,2465,2592,2582,2633,2808,2832,2900,2998,3083,3260,3391,3493,3532,3532,3530,3659,3642
전년 대비 증가율(%),8,2,4,2,3,5,-0.4,2,7,1,2,3,3,6,4,3,1,0,-0.1,4,-0.5
1인당 명목 국민총소득(만 원),1641,1742,1886,1973,2070,2233,2354,2441,2673,2799,2899,2995,3095,3260,3411,3589,3693,3754,3777,4065,4249
전년 대비 증가율(%),11,6,8,5,5,8,5,4,10,5,4,3,3,5,5,5,3,2,1,8,5
1인당 실질 개인처분가능소득(만 원),1451,1477,1529,1551,1579,1625,1644,1648,1688,1700,1722,1772,1810,1913,1934,1959,2006,2058,2119,2147,2182
